,Temperature,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Windspeed
wanaka,44.01,44.01,-44.7,169.15,84.0,5.0,0.98
mount pleasant,75.18,75.99,32.79,-79.86,69.0,1.0,10.6
barrow,26.6,26.6,71.29,-156.79,79.0,90.0,12.75
mahibadhoo,84.76,84.76,3.78,72.97,77.0,100.0,18.07
cabo san lucas,83.14,84.2,22.89,-109.91,18.0,5.0,6.93
vao,72.16,72.16,-22.67,167.48,78.0,100.0,14.99
chuy,62.74,62.74,-33.7,-53.46,70.0,0.0,12.57
olafsvik,39.78,39.78,64.89,-23.71,72.0,6.0,16.84
castro,52.47,52.47,-24.79,-50.01,58.0,0.0,0.51
hualmay,66.09,66.09,-11.1,-77.61,82.0,21.0,7.72
alice springs,50.0,50.0,-23.7,133.88,46.0,0.0,2.24
murray bridge,60.01,60.01,-35.12,139.27,65.0,0.0,1.01
poum,75.42,75.42,-20.23,164.02,71.0,62.0,8.19
hami,78.94,78.94,42.8,93.45,24.0,96.0,21.12
bredasdorp,44.6,44.6,-34.53,20.04,87.0,0.0,1.12
north platte,66.11,69.8,41.12,-100.77,40.0,40.0,16.11
besancon,45.0,45.0,47.25,6.02,100.0,0.0,3.71
agadez,79.16,79.16,19.75,10.25,14.0,0.0,1.88
luderitz,69.8,69.8,-26.65,15.16,26.0,0.0,3.36
norman wells,30.2,30.2,65.28,-126.83,54.0,75.0,18.34
linhares,67.01,67.01,-19.39,-40.07,98.0,100.0,2.51
yerbogachen,47.57,47.57,61.28,108.01,68.0,7.0,3.13
srednekolymsk,51.39,51.39,67.45,153.68,49.0,23.0,5.57
port augusta,55.92,57.99,-32.5,137.77,81.0,0.0,3.36
codrington,52.66,52.66,-38.27,141.97,65.0,0.0,6.73
puerto carreno,89.6,89.6,6.19,-67.49,55.0,20.0,7.58
medicine hat,75.38,77.0,50.05,-110.67,35.0,40.0,23.04
huaihua,75.4,75.4,27.55,109.96,80.0,57.0,2.37
tamandare,78.06,78.06,-8.76,-35.1,83.0,18.0,2.64
mozarlandia,74.01,74.01,-14.74,-50.57,80.0,24.0,6.26
klaksvik,39.2,39.2,62.23,-6.59,77.0,100.0,14.99
muravlenko,44.6,44.6,63.79,74.52,81.0,56.0,7.45
amapa,73.99,73.99,1.0,-52.0,97.0,100.0,4.54
lorengau,84.72,84.72,-2.02,147.27,78.0,0.0,9.26
port hardy,55.4,55.4,50.7,-127.42,82.0,90.0,19.46
kahului,80.17,87.8,20.89,-156.47,52.0,40.0,17.22
necochea,64.89,64.89,-38.55,-58.74,61.0,4.0,11.61
golden,66.99,70.0,39.76,-105.22,28.0,40.0,8.05
sur,79.57,79.57,22.57,59.53,68.0,0.0,6.2
liverpool,51.37,52.0,53.41,-2.98,76.0,86.0,3.36
bergama,74.28,75.2,39.12,27.18,60.0,99.0,2.24
pisco,66.2,66.2,-13.7,-76.22,82.0,3.0,11.41
thinadhoo,85.21,85.21,0.53,72.93,76.0,81.0,18.39
anadyr,39.09,39.2,64.75,177.48,64.0,1.0,4.47
port alfred,57.99,57.99,-33.59,26.89,66.0,32.0,5.01
guerrero negro,68.02,68.02,27.98,-114.06,66.0,2.0,19.1
doha,79.54,81.0,25.29,51.53,69.0,0.0,3.36
okahandja,59.0,59.0,-21.98,16.92,33.0,0.0,5.82
keuruu,34.23,35.01,62.27,24.7,96.0,100.0,5.82
laguna,76.87,79.0,38.42,-121.42,36.0,1.0,16.11
san carlos de bariloche,50.0,50.0,-41.15,-71.31,53.0,40.0,21.92
kununurra,80.6,80.6,-15.77,128.73,28.0,60.0,14.99
tottori,60.8,60.8,35.5,134.23,100.0,75.0,6.93
gat,81.14,82.99,31.61,34.76,38.0,57.0,4.7
cockburn town,80.71,80.71,21.46,-71.14,79.0,7.0,18.63
belaya gora,40.55,40.55,68.53,146.42,69.0,6.0,9.04
makakilo city,83.07,87.8,21.35,-158.09,48.0,75.0,6.93
fayaoue,74.59,74.59,-20.65,166.53,74.0,71.0,16.31
galesong,82.54,82.54,-5.32,119.37,76.0,33.0,7.76
esperance,53.6,53.6,-33.87,121.9,76.0,90.0,5.82
axim,81.57,81.57,4.87,-2.24,84.0,28.0,8.81
warmbad,62.33,62.33,-28.45,18.73,28.0,0.0,9.62
walvis bay,64.4,64.4,-22.96,14.51,45.0,0.0,3.36
finschhafen,84.25,84.25,-6.6,147.87,70.0,37.0,7.65
adrar,77.22,77.22,20.5,-10.07,18.0,0.0,12.08
boden,35.6,35.6,65.83,21.69,74.0,21.0,5.82
sakaiminato,62.6,62.6,35.55,133.23,93.0,90.0,4.7
fiche,52.72,52.72,9.8,38.73,81.0,41.0,2.73
verkh-suetka,61.63,61.63,53.3,80.05,63.0,28.0,6.13
ketchikan,62.98,64.4,55.34,-131.65,48.0,1.0,17.22
merauke,80.64,80.64,-8.47,140.33,77.0,100.0,15.86
boa vista,84.2,84.2,2.82,-60.67,74.0,40.0,6.93
xambioa,75.45,75.45,-6.41,-48.54,92.0,37.0,0.49
manta,78.8,78.8,-0.95,-80.73,78.0,75.0,12.75
motala,40.3,41.0,58.54,15.04,75.0,26.0,10.29
brownsville,85.69,87.8,25.9,-97.5,45.0,1.0,6.93
sibolga,79.3,79.3,1.74,98.78,83.0,100.0,2.42
verkhoyansk,39.94,39.94,67.54,133.38,73.0,100.0,3.22
bunda,65.84,65.84,-2.05,33.87,90.0,89.0,4.65
nalut,80.1,80.1,30.33,10.85,14.0,0.0,8.84
cap malheureux,72.0,72.0,-19.98,57.61,82.0,0.0,1.99
okha,36.25,36.25,53.57,142.95,83.0,70.0,14.43
tuatapere,54.66,54.66,-46.13,167.68,64.0,0.0,1.63
khuzhir,38.61,38.61,53.19,107.34,74.0,61.0,2.26
victoria,80.64,84.0,22.29,114.16,78.0,3.0,4.36
calabar,78.12,78.12,4.95,8.32,90.0,95.0,2.66
ashington,51.19,54.0,50.93,-0.39,74.0,40.0,1.99
lompoc,65.88,68.0,34.64,-120.46,60.0,20.0,19.46
chokurdakh,27.55,27.55,70.63,147.92,97.0,0.0,9.31
cayenne,80.6,80.6,4.93,-52.33,83.0,75.0,5.82
pangnirtung,30.9,30.9,66.15,-65.71,91.0,84.0,1.86
kulhudhuffushi,85.21,85.21,6.62,73.07,76.0,100.0,19.26
hithadhoo,85.21,85.21,-0.6,73.08,76.0,83.0,20.89
calvinia,54.7,54.7,-31.47,19.78,37.0,4.0,4.9
saldanha,50.0,50.0,-33.01,17.94,76.0,37.0,2.24
hurghada,80.6,80.6,27.26,33.81,61.0,61.0,5.82
ponta delgada,62.6,62.6,37.73,-25.67,93.0,75.0,8.05
bairiki,87.8,87.8,1.33,172.98,74.0,75.0,6.93
high rock,78.8,78.8,26.62,-78.28,88.0,40.0,12.75
qasigiannguit,30.2,30.2,68.82,-51.19,100.0,0.0,3.36
port blair,80.62,80.62,11.67,92.75,88.0,100.0,17.76
limulunga,60.26,60.26,-15.1,23.14,48.0,0.0,7.14
urengoy,42.67,42.67,65.97,78.37,87.0,98.0,5.21
kapaa,80.26,80.6,22.08,-159.32,74.0,20.0,9.17
nemuro,45.91,45.91,43.32,145.57,98.0,100.0,9.95
carnarvon,69.55,69.55,-24.87,113.63,24.0,43.0,11.39
wuwei,68.0,68.0,37.93,102.64,20.0,0.0,6.98
georgetown,79.25,80.6,5.41,100.34,94.0,20.0,4.0
sangar,51.17,51.17,63.92,127.47,59.0,32.0,4.27
port hedland,68.0,68.0,-20.32,118.57,15.0,7.0,10.29
nhulunbuy,80.6,80.6,-12.23,136.77,78.0,75.0,13.87
dingle,85.28,85.28,11.0,122.67,74.0,65.0,0.96
constitucion,59.18,59.18,-35.33,-72.42,80.0,2.0,10.4
jardim,59.54,59.54,-21.48,-56.14,64.0,0.0,3.13
maningrida,80.49,80.49,-12.07,134.27,70.0,32.0,16.84
fairbanks,55.63,57.2,64.84,-147.72,26.0,1.0,13.87
mackenzie,60.8,60.8,55.3,-123.17,51.0,75.0,9.17
san cristobal,68.79,68.79,7.77,-72.22,81.0,56.0,3.56
te anau,50.77,50.77,-45.42,167.72,57.0,0.0,1.3
nouakchott,75.2,75.2,18.09,-15.98,60.0,0.0,13.87
sardarpur,80.08,80.08,22.68,74.95,28.0,0.0,10.11
grevenbroich,46.76,48.99,51.09,6.58,75.0,18.0,4.7
oyotun,75.51,75.51,-6.85,-79.3,63.0,45.0,3.49
ierapetra,82.99,82.99,35.01,25.74,21.0,0.0,13.0
vila franca do campo,62.6,62.6,37.72,-25.43,93.0,75.0,8.05
deputatskiy,29.08,29.08,69.3,139.9,98.0,100.0,6.49
narsaq,46.4,46.4,60.92,-46.05,26.0,100.0,21.92
korla,77.16,77.16,41.76,86.15,18.0,100.0,11.65
taltal,59.92,59.92,-25.4,-70.48,77.0,44.0,1.77
torbay,32.85,34.0,47.67,-52.73,97.0,75.0,5.82
mahenge,60.58,60.58,-8.68,36.72,84.0,32.0,2.66
las vegas,91.18,93.2,36.17,-115.14,12.0,1.0,11.41
turukhansk,46.15,46.15,65.82,87.98,79.0,99.0,14.36
nemencine,44.82,45.0,54.85,25.48,81.0,75.0,10.29
mount gambier,44.6,44.6,-37.83,140.77,93.0,1.0,5.82
huicungo,70.52,70.52,-7.28,-76.8,93.0,24.0,1.19
hommelvik,37.11,39.0,63.41,10.79,86.0,90.0,4.7
college,54.82,57.2,64.86,-147.8,28.0,75.0,11.41
gamba,78.15,78.15,-2.65,10.0,94.0,100.0,3.89
pinsk,39.96,39.96,52.12,26.1,94.0,8.0,8.43
kontagora,80.2,80.2,10.4,5.47,65.0,51.0,5.95
awbari,83.32,83.32,26.59,12.78,14.0,0.0,8.68
lata,58.06,63.0,40.16,-8.33,85.0,7.0,1.01
kayes,97.61,97.61,14.0,-11.0,21.0,46.0,2.28
pevek,34.12,34.12,69.7,170.31,90.0,0.0,4.14
semirom,52.03,52.03,31.42,51.57,44.0,0.0,2.21
iqaluit,32.0,32.0,63.75,-68.51,96.0,20.0,3.36
port-gentil,80.6,80.6,-0.72,8.78,100.0,40.0,5.82
high level,57.2,57.2,58.52,-117.14,41.0,75.0,19.46
yinchuan,58.24,58.24,38.47,106.27,34.0,7.0,15.9
lucapa,68.04,68.04,-8.42,20.74,68.0,20.0,2.26
orsk,44.6,44.6,51.2,58.57,93.0,58.0,11.18
polunochnoye,43.63,43.63,60.87,60.42,90.0,88.0,3.83
tiarei,86.0,86.0,-17.53,-149.33,70.0,75.0,9.17
tabou,80.67,80.67,4.42,-7.35,85.0,81.0,5.5
rawson,59.47,59.47,-43.3,-65.1,35.0,27.0,16.22
marzuq,79.07,79.07,14.4,46.47,43.0,0.0,1.43
corpus christi,80.37,82.4,27.8,-97.4,65.0,40.0,10.29
nome,53.6,53.6,64.5,-165.41,58.0,90.0,6.93
krasnyy chikoy,40.73,40.73,50.36,108.75,77.0,92.0,2.04
tarija,58.19,58.19,-21.54,-64.73,54.0,0.0,1.92
road town,80.67,81.0,18.42,-64.62,83.0,1.0,13.0
langarud,69.76,69.76,37.2,50.15,52.0,0.0,1.77
bethel,69.37,71.6,41.37,-73.41,37.0,1.0,2.93
geraldton,51.8,51.8,-28.77,114.6,62.0,27.0,4.7
jagatsinghapur,82.4,82.4,20.27,86.17,83.0,40.0,3.47
yumen,67.39,67.39,40.28,97.2,21.0,32.0,13.06
namibe,77.2,77.2,-15.2,12.15,50.0,0.0,2.91
luwuk,84.24,84.24,-0.95,122.79,67.0,96.0,3.74
grenfell,55.78,55.78,-33.9,148.17,64.0,0.0,4.0
saskylakh,33.31,33.31,71.92,114.08,97.0,95.0,3.69
talara,69.96,69.96,-4.58,-81.27,83.0,2.0,16.49
bousso,91.36,91.36,10.48,16.71,29.0,51.0,4.07
lagos,84.2,84.2,6.58,3.75,83.0,20.0,2.24
aitape,86.2,86.2,-3.14,142.35,66.0,75.0,6.67
mangrol,80.98,80.98,21.12,70.12,83.0,0.0,14.99
shieli,66.4,66.4,44.17,66.75,59.0,83.0,12.08
almaznyy,42.8,42.8,48.04,40.05,93.0,0.0,2.24
karratha,67.62,67.62,-20.74,116.85,24.0,48.0,16.49
kaitangata,51.64,51.64,-46.28,169.85,63.0,0.0,4.27
miranda,82.4,82.4,3.25,-76.23,69.0,75.0,9.17
leningradskiy,29.43,29.43,69.38,178.42,96.0,100.0,5.17
vilyuysk,54.57,54.57,63.76,121.62,61.0,100.0,5.3
alofi,82.4,82.4,-19.06,-169.92,69.0,59.0,6.93
maraba,82.4,82.4,-5.37,-49.12,88.0,20.0,4.7
mount isa,73.4,73.4,-20.73,139.5,31.0,4.0,9.17
bathsheba,80.6,80.6,13.22,-59.52,78.0,20.0,24.16
waipawa,57.06,57.2,-41.41,175.52,82.0,44.0,11.41
marrakesh,60.8,60.8,31.63,-8.01,77.0,40.0,12.75
margate,49.98,51.01,51.38,1.39,79.0,73.0,1.01
coxim,68.2,68.2,-18.51,-54.76,70.0,8.0,3.24
ganzhou,78.48,78.48,28.82,115.43,80.0,17.0,0.6
manaure,87.8,87.8,11.78,-72.44,70.0,75.0,9.17
krasnaya gora,44.6,44.6,53.0,31.6,70.0,22.0,11.18
guayabetal,78.8,78.8,4.21,-73.82,78.0,40.0,3.36
pincher creek,60.33,62.01,49.48,-113.95,36.0,1.0,18.34
sinnamary,78.12,78.12,5.38,-52.95,86.0,73.0,11.92
mandal,82.11,82.11,25.45,74.57,29.0,1.0,9.19
kargasok,51.13,51.13,59.06,80.86,81.0,0.0,5.57
airai,67.3,67.3,-8.93,125.41,96.0,40.0,4.68
vestmanna,39.2,39.2,62.16,-7.17,81.0,100.0,14.99
pahrump,90.27,91.99,36.21,-115.98,16.0,70.0,5.99
beloha,63.01,63.01,-25.17,45.05,86.0,26.0,4.72
mayor pablo lagerenza,63.79,63.79,-19.93,-60.77,44.0,0.0,4.5
ixtapa,79.79,80.6,20.7,-105.2,69.0,5.0,12.75
eureka,61.34,62.01,40.8,-124.16,90.0,100.0,8.01
mar del plata,65.37,66.99,-38.0,-57.56,55.0,13.0,6.93
saint-leu,65.03,71.6,-21.15,55.28,78.0,20.0,5.82
ambilobe,72.93,72.93,-13.2,49.05,92.0,27.0,2.24
san patricio,80.6,80.6,19.22,-104.7,78.0,5.0,11.41
meadow lake,82.47,84.99,34.8,-106.54,9.0,20.0,6.8
plettenberg bay,57.92,57.92,-34.05,23.37,52.0,1.0,4.25
arraial do cabo,72.77,72.77,-22.97,-42.03,77.0,22.0,10.29
kuminskiy,47.35,47.35,58.67,66.57,94.0,55.0,5.06
ajaccio,60.8,60.8,42.0,8.92,87.0,0.0,5.82
show low,76.95,78.8,34.25,-110.03,15.0,1.0,13.87
lebu,57.52,57.52,-37.62,-73.65,95.0,86.0,5.41
bafoulabe,100.27,100.27,13.81,-10.83,22.0,71.0,4.5
zalakomar,53.6,53.6,46.54,17.18,76.0,75.0,2.24
inongo,73.27,73.27,-1.95,18.27,84.0,19.0,2.71
ribeira grande,64.06,64.06,38.52,-28.7,89.0,100.0,19.75
visnes,41.79,42.8,59.36,5.22,81.0,100.0,24.16
praxedis guerrero,90.61,91.4,31.37,-106.02,9.0,5.0,6.93
sorong,82.8,82.8,-0.88,131.25,79.0,50.0,7.61
havre-saint-pierre,46.4,46.4,50.23,-63.6,73.0,90.0,9.17
beboto,83.14,83.14,8.27,16.94,59.0,96.0,7.96
somerset west,52.57,55.0,-34.08,18.82,93.0,19.0,2.24
san quintin,67.48,67.48,30.48,-115.95,68.0,43.0,9.62
imeni poliny osipenko,49.41,49.41,52.42,136.49,50.0,1.0,11.36
la asuncion,84.2,84.2,11.03,-63.86,74.0,41.0,24.16
katobu,81.72,81.72,-4.94,122.53,86.0,7.0,5.21
berbera,88.16,88.16,10.44,45.01,73.0,0.0,3.62
salalah,84.2,84.2,17.02,54.09,83.0,31.0,2.24
fos-sur-mer,61.34,62.6,43.44,4.94,93.0,100.0,5.82
marsh harbour,80.15,80.15,26.54,-77.06,80.0,100.0,16.13
aykhal,44.6,44.6,66.0,111.5,94.0,88.0,6.71
linkoping,41.0,42.8,58.41,15.62,70.0,60.0,10.29
thunder bay,58.57,60.8,48.4,-89.32,44.0,90.0,10.29
san juan,65.62,65.62,-31.54,-68.54,29.0,0.0,4.32
sao joao da barra,68.97,68.97,-21.64,-41.05,86.0,95.0,2.93
daitari,77.22,77.22,21.1,85.75,82.0,40.0,0.18
sol-iletsk,50.0,50.0,51.16,54.99,83.0,100.0,3.22
kashi,57.2,57.2,39.45,75.98,58.0,40.0,13.42
sakakah,78.8,78.8,29.97,40.21,29.0,5.0,10.29
mangit,57.2,57.2,40.6,70.96,71.0,1.0,4.7
sioux lookout,59.0,59.0,50.1,-91.92,54.0,75.0,3.36
bandarbeyla,82.81,82.81,9.49,50.81,82.0,26.0,23.96
bahir dar,63.5,63.5,11.59,37.39,77.0,100.0,8.08
ambon,82.99,82.99,-3.7,128.18,81.0,6.0,13.33
krasnoye,41.0,41.0,49.91,24.61,93.0,66.0,3.06
north myrtle beach,74.28,75.2,33.82,-78.68,69.0,1.0,8.05
palmer,65.91,69.8,42.16,-72.33,37.0,1.0,5.82
aguililla,87.73,87.73,18.73,-102.73,22.0,46.0,4.68
wentzville,69.69,70.0,38.81,-90.85,90.0,100.0,5.01
hambantota,82.62,82.62,6.12,81.12,82.0,99.0,22.55
yarim,59.29,59.29,14.3,44.38,39.0,36.0,7.99
nioro,77.77,77.77,13.35,-15.75,41.0,0.0,4.65
kurilsk,41.94,41.94,45.23,147.88,95.0,100.0,3.91
nizwa,75.29,75.29,22.93,57.53,48.0,11.0,1.36
the valley,81.79,82.4,18.22,-63.06,69.0,75.0,16.11
marienburg,42.35,46.99,54.04,19.03,100.0,81.0,10.38
edd,90.37,90.37,13.93,41.69,52.0,93.0,0.65
brokopondo,77.99,77.99,4.75,-55.17,89.0,78.0,10.98
reconquista,61.0,61.0,-29.15,-59.65,64.0,0.0,7.43
mwense,65.71,65.71,-10.38,28.7,53.0,0.0,7.9
vostok,51.33,51.33,46.49,135.88,86.0,74.0,4.12
sault sainte marie,58.77,62.6,46.52,-84.33,45.0,1.0,5.82
port hawkesbury,39.94,41.0,45.62,-61.35,80.0,1.0,5.82
zapolyarnyy,32.0,32.0,69.42,30.81,98.0,90.0,5.82
qostanay,50.0,50.0,53.17,63.58,87.0,99.0,4.47
chimoio,59.0,59.0,-19.12,33.48,77.0,0.0,2.55
asau,46.0,46.0,46.43,26.4,84.0,72.0,2.17
ormara,80.65,80.65,25.21,64.64,84.0,0.0,11.07
timisesti,48.67,48.99,47.23,26.55,88.0,86.0,4.43
tulun,47.91,47.91,54.56,100.58,52.0,95.0,6.71
shirokiy,55.11,55.11,49.76,129.52,51.0,0.0,11.45
kieta,86.99,86.99,-6.22,155.63,65.0,0.0,4.16
ancud,54.27,55.0,-41.87,-73.82,87.0,75.0,6.93
maple creek,68.47,68.47,49.92,-109.48,38.0,2.0,19.39
hirara,81.66,82.4,24.8,125.28,88.0,75.0,11.41
porto walter,72.34,72.34,-8.27,-72.74,92.0,80.0,1.01
srandakan,79.84,79.84,-7.94,110.25,86.0,97.0,6.26
salaga,82.9,82.9,8.55,-0.52,67.0,81.0,5.37
pandamatenga,54.7,54.7,-18.53,25.63,39.0,0.0,7.05
panzhihua,61.0,61.0,26.59,101.71,74.0,99.0,4.23
ugoofaaru,84.92,84.92,5.67,73.0,77.0,100.0,17.56
flin flon,60.8,60.8,54.77,-101.86,31.0,75.0,8.05
